year,kwh,energyType
2010,10172000000,Hydroelectric power
2010,3000000,Biogas
2010,1000000,Photovoltaic
2010,10000000,Wind energy
2011,8781000000,Hydroelectric power
2011,3000000,Biogas
2011,1000000,Photovoltaic
2011,9000000,Wind energy
2012,10384000000,Hydroelectric power
2012,4000000,Biogas
2012,6000000,Photovoltaic
2012,14000000,Wind energy
2013,10375000000,Hydroelectric power
2013,4000000,Biogas
2013,22000000,Photovoltaic
2013,19000000,Wind energy
2014,9553000000,Hydroelectric power
2014,4000000,Biogas
2014,41000000,Photovoltaic
2014,18000000,Wind energy
2015,11124000000,Hydroelectric power
2015,5000000,Biogas
2015,60000000,Photovoltaic
2015,18000000,Wind energy
2016,9644000000,Hydroelectric power
2016,5000000,Biogas
2016,67000000,Photovoltaic
2016,18000000,Wind energy
2017,9759000000,Hydroelectric power
2017,5000000,Biogas
2017,74000000,Photovoltaic
2017,24000000,Wind energy
2018,11171000000,Hydroelectric power
2018,5000000,Biogas
2018,84000000,Photovoltaic
2018,22000000,Wind energy